,Target Search,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Ago,Tweet Time
228,@CNN,-0.7096,0.0,0.237,0.763,34,2018-09-28 22:49:49+00:00
229,@CNN,-0.7184,0.0,0.25,0.75,35,2018-09-28 22:49:49+00:00
230,@CNN,0.3818,0.12,0.0,0.88,36,2018-09-28 22:49:49+00:00
231,@CNN,-0.5267,0.089,0.196,0.714,37,2018-09-28 22:49:48+00:00
232,@CNN,0.25,0.099,0.062,0.839,38,2018-09-28 22:49:48+00:00
233,@CNN,0.296,0.145,0.0,0.855,39,2018-09-28 22:49:47+00:00
234,@CNN,0.0,0.0,0.0,1.0,40,2018-09-28 22:49:46+00:00
235,@CNN,0.0,0.0,0.0,1.0,41,2018-09-28 22:49:45+00:00
236,@CNN,0.0,0.0,0.0,1.0,42,2018-09-28 22:49:44+00:00
237,@CNN,0.0,0.0,0.0,1.0,43,2018-09-28 22:49:43+00:00
238,@CNN,-0.8462,0.0,0.324,0.676,44,2018-09-28 22:49:43+00:00
239,@CNN,0.5574,0.153,0.0,0.847,45,2018-09-28 22:49:43+00:00
240,@CNN,0.0,0.0,0.0,1.0,46,2018-09-28 22:49:43+00:00
241,@CNN,0.0,0.0,0.0,1.0,47,2018-09-28 22:49:42+00:00
242,@CNN,0.0,0.0,0.0,1.0,48,2018-09-28 22:49:41+00:00
243,@CNN,0.0,0.0,0.0,1.0,49,2018-09-28 22:49:41+00:00
244,@CNN,-0.4939,0.0,0.16,0.84,50,2018-09-28 22:49:40+00:00
245,@CNN,0.0,0.0,0.0,1.0,51,2018-09-28 22:49:40+00:00
246,@CNN,0.0258,0.126,0.162,0.711,52,2018-09-28 22:49:39+00:00
247,@CNN,-0.4588,0.0,0.1,0.9,53,2018-09-28 22:49:38+00:00
248,@CNN,0.25,0.099,0.062,0.839,54,2018-09-28 22:49:37+00:00
249,@CNN,-0.4939,0.0,0.174,0.826,55,2018-09-28 22:49:37+00:00
250,@CNN,0.25,0.099,0.062,0.839,56,2018-09-28 22:49:36+00:00
251,@CNN,-0.3578,0.065,0.12,0.815,57,2018-09-28 22:49:35+00:00
252,@CNN,-0.34,0.0,0.324,0.676,58,2018-09-28 22:49:34+00:00
253,@CNN,0.4588,0.188,0.0,0.812,59,2018-09-28 22:49:32+00:00
254,@CNN,0.0,0.0,0.0,1.0,60,2018-09-28 22:49:32+00:00
255,@CNN,0.25,0.099,0.062,0.839,61,2018-09-28 22:49:31+00:00
256,@CNN,0.6369,0.184,0.0,0.816,62,2018-09-28 22:49:31+00:00
257,@CNN,0.4939,0.176,0.0,0.824,63,2018-09-28 22:49:30+00:00
258,@CNN,0.0,0.0,0.0,1.0,64,2018-09-28 22:49:28+00:00
259,@CNN,0.25,0.099,0.062,0.839,65,2018-09-28 22:49:28+00:00
260,@CNN,0.2263,0.176,0.128,0.695,66,2018-09-28 22:49:28+00:00
261,@CNN,-0.296,0.0,0.095,0.905,67,2018-09-28 22:49:27+00:00
262,@CNN,0.6144,0.216,0.064,0.719,68,2018-09-28 22:49:26+00:00
263,@CNN,0.25,0.099,0.062,0.839,69,2018-09-28 22:49:24+00:00
264,@CNN,0.25,0.099,0.062,0.839,70,2018-09-28 22:49:19+00:00
265,@CNN,0.25,0.099,0.062,0.839,71,2018-09-28 22:49:19+00:00
266,@CNN,0.0,0.0,0.0,1.0,72,2018-09-28 22:49:18+00:00
267,@CNN,0.25,0.099,0.062,0.839,73,2018-09-28 22:49:16+00:00
268,@CNN,-0.7712,0.0,0.268,0.732,74,2018-09-28 22:49:16+00:00
269,@CNN,-0.3578,0.065,0.12,0.815,75,2018-09-28 22:49:14+00:00
270,@CNN,-0.7096,0.0,0.237,0.763,76,2018-09-28 22:49:12+00:00
271,@CNN,0.0,0.0,0.0,1.0,77,2018-09-28 22:49:12+00:00
272,@CNN,0.0,0.0,0.0,1.0,78,2018-09-28 22:49:12+00:00
273,@CNN,-0.5423,0.0,0.636,0.364,79,2018-09-28 22:49:12+00:00
274,@CNN,0.0,0.0,0.0,1.0,80,2018-09-28 22:49:12+00:00
275,@CNN,0.0,0.0,0.0,1.0,81,2018-09-28 22:49:11+00:00
276,@CNN,0.0,0.0,0.0,1.0,82,2018-09-28 22:49:10+00:00
277,@CNN,0.7531,0.347,0.0,0.653,83,2018-09-28 22:49:09+00:00
278,@CNN,0.0,0.0,0.0,1.0,84,2018-09-28 22:49:08+00:00
279,@CNN,0.296,0.239,0.0,0.761,85,2018-09-28 22:49:07+00:00
280,@CNN,0.0,0.0,0.0,1.0,86,2018-09-28 22:49:07+00:00
281,@CNN,0.25,0.099,0.062,0.839,87,2018-09-28 22:49:05+00:00
282,@CNN,0.0,0.0,0.0,1.0,88,2018-09-28 22:49:04+00:00
283,@CNN,0.0,0.0,0.0,1.0,89,2018-09-28 22:49:04+00:00
284,@CNN,-0.7712,0.0,0.268,0.732,90,2018-09-28 22:49:04+00:00
285,@CNN,0.0,0.0,0.0,1.0,91,2018-09-28 22:49:02+00:00
286,@CNN,0.0,0.0,0.0,1.0,92,2018-09-28 22:49:02+00:00
287,@CNN,0.0,0.0,0.0,1.0,93,2018-09-28 22:49:02+00:00
288,@CNN,-0.1027,0.14,0.163,0.698,94,2018-09-28 22:49:02+00:00
289,@CNN,-0.6705,0.0,0.268,0.732,95,2018-09-28 22:49:01+00:00
290,@CNN,0.0,0.0,0.0,1.0,96,2018-09-28 22:49:00+00:00
291,@CNN,-0.2225,0.0,0.119,0.881,97,2018-09-28 22:49:00+00:00
292,@CNN,-0.5106,0.0,0.155,0.845,98,2018-09-28 22:48:58+00:00
293,@CNN,0.296,0.161,0.092,0.747,99,2018-09-28 22:48:57+00:00
294,@CNN,-0.4404,0.0,0.225,0.775,100,2018-09-28 22:48:56+00:00
295,@FoxNews,0.0,0.0,0.0,1.0,1,2018-09-28 22:48:56+00:00
296,@FoxNews,0.296,0.24,0.135,0.625,2,2018-09-28 22:48:56+00:00
297,@FoxNews,-0.4926,0.0,0.262,0.738,3,2018-09-28 22:48:55+00:00
298,@FoxNews,0.5304,0.208,0.0,0.792,4,2018-09-28 22:48:55+00:00
299,@FoxNews,0.0,0.0,0.0,1.0,5,2018-09-28 22:48:55+00:00
300,@FoxNews,0.2235,0.095,0.0,0.905,6,2018-09-28 22:48:55+00:00
301,@FoxNews,0.3787,0.202,0.109,0.689,7,2018-09-28 22:48:55+00:00
302,@FoxNews,0.2023,0.091,0.0,0.909,8,2018-09-28 22:48:54+00:00
303,@FoxNews,0.6052,0.319,0.098,0.583,9,2018-09-28 22:48:54+00:00
304,@FoxNews,-0.7351,0.0,0.36,0.64,10,2018-09-28 22:48:54+00:00
305,@FoxNews,0.6808,0.228,0.0,0.772,11,2018-09-28 22:48:54+00:00
306,@FoxNews,0.42,0.149,0.0,0.851,12,2018-09-28 22:48:54+00:00
307,@FoxNews,0.0,0.0,0.0,1.0,13,2018-09-28 22:48:53+00:00
308,@FoxNews,-0.5267,0.0,0.207,0.793,14,2018-09-28 22:48:53+00:00
309,@FoxNews,0.0,0.0,0.0,1.0,15,2018-09-28 22:48:53+00:00
310,@FoxNews,-0.4767,0.0,0.129,0.871,16,2018-09-28 22:48:52+00:00
311,@FoxNews,-0.3595,0.0,0.122,0.878,17,2018-09-28 22:48:51+00:00
312,@FoxNews,0.0,0.0,0.0,1.0,18,2018-09-28 22:48:51+00:00
313,@FoxNews,0.0,0.0,0.0,1.0,19,2018-09-28 22:48:51+00:00
314,@FoxNews,0.0,0.0,0.0,1.0,20,2018-09-28 22:48:50+00:00
315,@FoxNews,0.4019,0.114,0.0,0.886,21,2018-09-28 22:48:50+00:00
316,@FoxNews,0.6369,0.321,0.0,0.679,22,2018-09-28 22:48:50+00:00
